,Infinitive(eng),Infinitive(FI),examples,person,positive,negative
0,do,kielentää,,,,
1,indicate,kieliä,,,,
2,english,kielteistyä,,,,
3,refuse,kieltäytyä,,,,
4,forbid,kieltää,,,,
5,squirm,kiemurrella,,,,
6,do,kiemurtaa,,,,
7,english,kiepahtaa,I am walking,minä,kiepahdan,en kiepahda
8,english,kiepahtaa,you are walking,sinä,kiepahdat,et kiepahda
9,english,kiepahtaa,he/she is walking,hän,kiepahtaa,ei kiepahda
10,english,kiepahtaa,we are walking,me,kiepahdamme,emme kiepahda
11,english,kiepahtaa,you(plural/respectful) are walking,te,kiepahdatte,ette kiepahda
12,english,kiepahtaa,they are walking,he,kiepahtavat,eivät kiepahda
13,english,kiepahtaa,(passive) walking,passiivi,kiepahdetaan,ei kiepahdeta
14,english,kiepahtaa,I walked,minä,olen kiepahtanut,en ole kiepahtanut
15,english,kiepahtaa,You walked,sinä,olet kiepahtanut,et ole kiepahtanut
16,english,kiepahtaa,he/she walked,hän,on kiepahtanut,ei ole kiepahtanut
17,english,kiepahtaa,we walked,me,olemme kiepahtaneet,emme ole kiepahtaneet
18,english,kiepahtaa,you(plural/respectful) walked,te,olette kiepahtaneet,ette ole kiepahtaneet
19,english,kiepahtaa,they walked,he,ovat kiepahtaneet,eivät ole kiepahtaneet
20,english,kiepahtaa,(passive) walked,passiivi,on kiepahdettu,ei ole kiepahdettu
21,english,kiepahtaa,I was walking,minä,kiepahdin,en kiepahtanut
22,english,kiepahtaa,You were walking,sinä,kiepahdit,et kiepahtanut
23,english,kiepahtaa,he/she was walking,hän,kiepahti,ei kiepahtanut
24,english,kiepahtaa,we were walking,me,kiepahdimme,emme kiepahtaneet
25,english,kiepahtaa,you(plural/respectful) were walking,te,kiepahditte,ette kiepahtaneet
26,english,kiepahtaa,they were walking,he,kiepahtivat,eivät kiepahtaneet
27,english,kiepahtaa,(passive) were walking,passiivi,kiepahdettiin,ei kiepahdettu
28,english,kiepahtaa,I had walked,minä,olin kiepahtanut,en ollut kiepahtanut
29,english,kiepahtaa,You had walked,sinä,olit kiepahtanut,et ollut kiepahtanut
30,english,kiepahtaa,He/she had walked,hän,oli kiepahtanut,ei ollut kiepahtanut
31,english,kiepahtaa,We had walked,me,olimme kiepahtaneet,emme olleet kiepahtaneet
32,english,kiepahtaa,You(plural/repectful) had walked,te,olitte kiepahtaneet,ette olleet kiepahtaneet
33,english,kiepahtaa,They had walked,he,olivat kiepahtaneet,eivät olleet kiepahtaneet
34,english,kiepahtaa,(passive) had walked,passiivi,oli kiepahdettu,ei ollut kiepahdettu
35,english,kiepauttaa,,,,
36,spin,kieppua,I am walking,minä,kiepun,en kiepu
37,spin,kieppua,you are walking,sinä,kieput,et kiepu
38,spin,kieppua,he/she is walking,hän,kieppuu,ei kiepu
39,spin,kieppua,we are walking,me,kiepumme,emme kiepu
40,spin,kieppua,you(plural/respectful) are walking,te,kieputte,ette kiepu
41,spin,kieppua,they are walking,he,kieppuvat,eivät kiepu
42,spin,kieppua,(passive) walking,passiivi,kieputaan,ei kieputa
43,spin,kieppua,I walked,minä,olen kieppunut,en ole kieppunut
44,spin,kieppua,You walked,sinä,olet kieppunut,et ole kieppunut
45,spin,kieppua,he/she walked,hän,on kieppunut,ei ole kieppunut
46,spin,kieppua,we walked,me,olemme kieppuneet,emme ole kieppuneet
47,spin,kieppua,you(plural/respectful) walked,te,olette kieppuneet,ette ole kieppuneet
48,spin,kieppua,they walked,he,ovat kieppuneet,eivät ole kieppuneet
49,spin,kieppua,(passive) walked,passiivi,on kieputtu,ei ole kieputtu
50,spin,kieppua,I was walking,minä,kiepuin,en kieppunut
51,spin,kieppua,You were walking,sinä,kiepuit,et kieppunut
52,spin,kieppua,he/she was walking,hän,kieppui,ei kieppunut
53,spin,kieppua,we were walking,me,kiepuimme,emme kieppuneet
54,spin,kieppua,you(plural/respectful) were walking,te,kiepuitte,ette kieppuneet
55,spin,kieppua,they were walking,he,kieppuivat,eivät kieppuneet
56,spin,kieppua,(passive) were walking,passiivi,kieputtiin,ei kieputtu
57,spin,kieppua,I had walked,minä,olin kieppunut,en ollut kieppunut
58,spin,kieppua,You had walked,sinä,olit kieppunut,et ollut kieppunut
59,spin,kieppua,He/she had walked,hän,oli kieppunut,ei ollut kieppunut
60,spin,kieppua,We had walked,me,olimme kieppuneet,emme olleet kieppuneet
61,spin,kieppua,You(plural/repectful) had walked,te,olitte kieppuneet,ette olleet kieppuneet
62,spin,kieppua,They had walked,he,olivat kieppuneet,eivät olleet kieppuneet
63,spin,kieppua,(passive) had walked,passiivi,oli kieputtu,ei ollut kieputtu
64,english,kiepsahtaa,I am walking,minä,kiepsahdan,en kiepsahda
65,english,kiepsahtaa,you are walking,sinä,kiepsahdat,et kiepsahda
66,english,kiepsahtaa,he/she is walking,hän,kiepsahtaa,ei kiepsahda
67,english,kiepsahtaa,we are walking,me,kiepsahdamme,emme kiepsahda
68,english,kiepsahtaa,you(plural/respectful) are walking,te,kiepsahdatte,ette kiepsahda
69,english,kiepsahtaa,they are walking,he,kiepsahtavat,eivät kiepsahda
70,english,kiepsahtaa,(passive) walking,passiivi,kiepsahdetaan,ei kiepsahdeta
71,english,kiepsahtaa,I walked,minä,olen kiepsahtanut,en ole kiepsahtanut
72,english,kiepsahtaa,You walked,sinä,olet kiepsahtanut,et ole kiepsahtanut
73,english,kiepsahtaa,he/she walked,hän,on kiepsahtanut,ei ole kiepsahtanut
74,english,kiepsahtaa,we walked,me,olemme kiepsahtaneet,emme ole kiepsahtaneet
75,english,kiepsahtaa,you(plural/respectful) walked,te,olette kiepsahtaneet,ette ole kiepsahtaneet
76,english,kiepsahtaa,they walked,he,ovat kiepsahtaneet,eivät ole kiepsahtaneet
77,english,kiepsahtaa,(passive) walked,passiivi,on kiepsahdettu,ei ole kiepsahdettu
78,english,kiepsahtaa,I was walking,minä,kiepsahdin,en kiepsahtanut
79,english,kiepsahtaa,You were walking,sinä,kiepsahdit,et kiepsahtanut
80,english,kiepsahtaa,he/she was walking,hän,kiepsahti,ei kiepsahtanut
81,english,kiepsahtaa,we were walking,me,kiepsahdimme,emme kiepsahtaneet
82,english,kiepsahtaa,you(plural/respectful) were walking,te,kiepsahditte,ette kiepsahtaneet
83,english,kiepsahtaa,they were walking,he,kiepsahtivat,eivät kiepsahtaneet
84,english,kiepsahtaa,(passive) were walking,passiivi,kiepsahdettiin,ei kiepsahdettu
85,english,kiepsahtaa,I had walked,minä,olin kiepsahtanut,en ollut kiepsahtanut
86,english,kiepsahtaa,You had walked,sinä,olit kiepsahtanut,et ollut kiepsahtanut
87,english,kiepsahtaa,He/she had walked,hän,oli kiepsahtanut,ei ollut kiepsahtanut
88,english,kiepsahtaa,We had walked,me,olimme kiepsahtaneet,emme olleet kiepsahtaneet
89,english,kiepsahtaa,You(plural/repectful) had walked,te,olitte kiepsahtaneet,ette olleet kiepsahtaneet
90,english,kiepsahtaa,They had walked,he,olivat kiepsahtaneet,eivät olleet kiepsahtaneet
91,english,kiepsahtaa,(passive) had walked,passiivi,oli kiepsahdettu,ei ollut kiepsahdettu
92,english,kiepsauttaa,,,,
93,swirl,kieputtaa,I am walking,minä,kieputan,en kieputa
94,swirl,kieputtaa,you are walking,sinä,kieputat,et kieputa
95,swirl,kieputtaa,he/she is walking,hän,kieputtaa,ei kieputa
96,swirl,kieputtaa,we are walking,me,kieputamme,emme kieputa
97,swirl,kieputtaa,you(plural/respectful) are walking,te,kieputatte,ette kieputa
98,swirl,kieputtaa,they are walking,he,kieputtavat,eivät kieputa
99,swirl,kieputtaa,(passive) walking,passiivi,kieputetaan,ei kieputeta
100,swirl,kieputtaa,I walked,minä,olen kieputtanut,en ole kieputtanut
101,swirl,kieputtaa,You walked,sinä,olet kieputtanut,et ole kieputtanut
102,swirl,kieputtaa,he/she walked,hän,on kieputtanut,ei ole kieputtanut
103,swirl,kieputtaa,we walked,me,olemme kieputtaneet,emme ole kieputtaneet
104,swirl,kieputtaa,you(plural/respectful) walked,te,olette kieputtaneet,ette ole kieputtaneet
105,swirl,kieputtaa,they walked,he,ovat kieputtaneet,eivät ole kieputtaneet
106,swirl,kieputtaa,(passive) walked,passiivi,on kieputettu,ei ole kieputettu
107,swirl,kieputtaa,I was walking,minä,kieputin,en kieputtanut
108,swirl,kieputtaa,You were walking,sinä,kieputit,et kieputtanut
109,swirl,kieputtaa,he/she was walking,hän,kieputti,ei kieputtanut
110,swirl,kieputtaa,we were walking,me,kieputimme,emme kieputtaneet
111,swirl,kieputtaa,you(plural/respectful) were walking,te,kieputitte,ette kieputtaneet
112,swirl,kieputtaa,they were walking,he,kieputtivat,eivät kieputtaneet
113,swirl,kieputtaa,(passive) were walking,passiivi,kieputettiin,ei kieputettu
114,swirl,kieputtaa,I had walked,minä,olin kieputtanut,en ollut kieputtanut
115,swirl,kieputtaa,You had walked,sinä,olit kieputtanut,et ollut kieputtanut
116,swirl,kieputtaa,He/she had walked,hän,oli kieputtanut,ei ollut kieputtanut
117,swirl,kieputtaa,We had walked,me,olimme kieputtaneet,emme olleet kieputtaneet
118,swirl,kieputtaa,You(plural/repectful) had walked,te,olitte kieputtaneet,ette olleet kieputtaneet
119,swirl,kieputtaa,They had walked,he,olivat kieputtaneet,eivät olleet kieputtaneet
120,swirl,kieputtaa,(passive) had walked,passiivi,oli kieputettu,ei ollut kieputettu
121,roll,kierittää,,,,
122,roll,kieriä,,,,
123,become twisted,kieroontua,I am walking,minä,kieroonnun,en kieroonnu
124,become twisted,kieroontua,you are walking,sinä,kieroonnut,et kieroonnu
125,become twisted,kieroontua,he/she is walking,hän,kieroontuu,ei kieroonnu
126,become twisted,kieroontua,we are walking,me,kieroonnumme,emme kieroonnu
127,become twisted,kieroontua,you(plural/respectful) are walking,te,kieroonnutte,ette kieroonnu
128,become twisted,kieroontua,they are walking,he,kieroontuvat,eivät kieroonnu
129,become twisted,kieroontua,(passive) walking,passiivi,kieroonnutaan,ei kieroonnuta
130,become twisted,kieroontua,I walked,minä,olen kieroontunut,en ole kieroontunut
131,become twisted,kieroontua,You walked,sinä,olet kieroontunut,et ole kieroontunut
132,become twisted,kieroontua,he/she walked,hän,on kieroontunut,ei ole kieroontunut
133,become twisted,kieroontua,we walked,me,olemme kieroontuneet,emme ole kieroontuneet
134,become twisted,kieroontua,you(plural/respectful) walked,te,olette kieroontuneet,ette ole kieroontuneet
135,become twisted,kieroontua,they walked,he,ovat kieroontuneet,eivät ole kieroontuneet
136,become twisted,kieroontua,(passive) walked,passiivi,on kieroonnuttu,ei ole kieroonnuttu
137,become twisted,kieroontua,I was walking,minä,kieroonnuin,en kieroontunut
