,Infinitive(eng),Infinitive(FI),examples,person,positive,negative
0,cast,valaa,I am walking,minä,valan,en vala
1,cast,valaa,you are walking,sinä,valat,et vala
2,cast,valaa,he/she is walking,hän,valaa,ei vala
3,cast,valaa,we are walking,me,valamme,emme vala
4,cast,valaa,you(plural/respectful) are walking,te,valatte,ette vala
5,cast,valaa,they are walking,he,valavat,eivät vala
6,cast,valaa,(passive) walking,passiivi,valetaan,ei valeta
7,cast,valaa,I walked,minä,olen valanut,en ole valanut
8,cast,valaa,You walked,sinä,olet valanut,et ole valanut
9,cast,valaa,he/she walked,hän,on valanut,ei ole valanut
10,cast,valaa,we walked,me,olemme valaneet,emme ole valaneet
11,cast,valaa,you(plural/respectful) walked,te,olette valaneet,ette ole valaneet
12,cast,valaa,they walked,he,ovat valaneet,eivät ole valaneet
13,cast,valaa,(passive) walked,passiivi,on valettu,ei ole valettu
14,cast,valaa,I was walking,minä,valoin,en valanut
15,cast,valaa,You were walking,sinä,valoit,et valanut
16,cast,valaa,he/she was walking,hän,valoi,ei valanut
17,cast,valaa,we were walking,me,valoimme,emme valaneet
18,cast,valaa,you(plural/respectful) were walking,te,valoitte,ette valaneet
19,cast,valaa,they were walking,he,valoivat,eivät valaneet
20,cast,valaa,(passive) were walking,passiivi,valettiin,ei valettu
21,cast,valaa,I had walked,minä,olin valanut,en ollut valanut
22,cast,valaa,You had walked,sinä,olit valanut,et ollut valanut
23,cast,valaa,He/she had walked,hän,oli valanut,ei ollut valanut
24,cast,valaa,We had walked,me,olimme valaneet,emme olleet valaneet
25,cast,valaa,You(plural/repectful) had walked,te,olitte valaneet,ette olleet valaneet
26,cast,valaa,They had walked,he,olivat valaneet,eivät olleet valaneet
27,cast,valaa,(passive) had walked,passiivi,oli valettu,ei ollut valettu
28,slump,valahtaa,I am walking,minä,valahdan,en valahda
29,slump,valahtaa,you are walking,sinä,valahdat,et valahda
30,slump,valahtaa,he/she is walking,hän,valahtaa,ei valahda
31,slump,valahtaa,we are walking,me,valahdamme,emme valahda
32,slump,valahtaa,you(plural/respectful) are walking,te,valahdatte,ette valahda
33,slump,valahtaa,they are walking,he,valahtavat,eivät valahda
34,slump,valahtaa,(passive) walking,passiivi,valahdetaan,ei valahdeta
35,slump,valahtaa,I walked,minä,olen valahtanut,en ole valahtanut
36,slump,valahtaa,You walked,sinä,olet valahtanut,et ole valahtanut
37,slump,valahtaa,he/she walked,hän,on valahtanut,ei ole valahtanut
38,slump,valahtaa,we walked,me,olemme valahtaneet,emme ole valahtaneet
39,slump,valahtaa,you(plural/respectful) walked,te,olette valahtaneet,ette ole valahtaneet
40,slump,valahtaa,they walked,he,ovat valahtaneet,eivät ole valahtaneet
41,slump,valahtaa,(passive) walked,passiivi,on valahdettu,ei ole valahdettu
42,slump,valahtaa,I was walking,minä,valahdin,en valahtanut
43,slump,valahtaa,You were walking,sinä,valahdit,et valahtanut
44,slump,valahtaa,he/she was walking,hän,valahti,ei valahtanut
