English,Finnish
leafed,lehtinen
some,puheinen
wheeled,pyöräinen
minded,aatteinen
peaked,huippuinen
handed,kätinen
some,otteinen
necked,kaulainen
driven,käyttöinen
armed,aseinen
some,vuotias
some,aloitteinen
windowed,ikkunainen
edged,kulmainen
some,sivuinen
used only as headword in,päinen
some,opettajainen
based,pohjainen
foreheaded,otsainen
some,vuotinen
some,energiainen
some,yksikköinen
toothed,hampainen
some,eleinen
some,nopeuksinen
some,kertainen
some,näyttöinen
some,kuvioinen
waisted,vyötäröinen
some,himoinen
some,aineksinen
some,frekvenssinen
some,oktaaninen
phosphatic,fosfaattinen
some,avioinen
some,ajatuksinen
wrong,oppinen
cheeked,poskinen
some,voipa
legged,raajainen
some,asteinen
some,käsitteinen
necked,niskainen
beginning with,alkuinen
some,onninen
some,aineinen
specific,kohtainen
some,alueinen
eyed,silmäinen
axled,akselinen
bellied,mahainen
bearing,pitoinen
some,aistinen
some,ohjauksinen
pronounceable,ääntöinen
mouthed,suinen
genic,geeninen
minded,mielinen
templed,ohimoinen
witted,älyinen
themed,aiheinen
some,peräinen
polar,napainen
skinned,ihoinen
legged,jalkainen
nosed,nenäinen
alphabetical,aakkosellinen
alphanumeric,aakkosnumeerinen
taking places in waves,aalloittainen
wavy,aallokas
wavy,aaltoileva
wavy,aaltoinen
wavelike,aaltomainen
sleepy in the mornings,aamuuninen
taking place in the morning,aamuinen
occurring in the morning,aamullinen
fresh as the morning,aamunraikas
some,aamunsarastus
some,aamupäiväinen
taking place during small hours,aamuöinen
some,aasialainen
asinine,aasimainen
antediluvian,aataminaikainen
noble,aatelinen
ideological,aatteellinen
some,aatteellisin
open,aava
ghostly,aavemainen
some,aavemaisin
desert,aavikkoinen
unexpected,aavistamaton
some,aavistuksenomainen
abasic,abaattinen
abaxial,abaksiaalinen
abacterial,abakteriaalinen
alternative term for abakteriaalinen,abakterielli
abdominal,abdominaali
abdominal,abdominaalinen
abductive,abduktiivinen
aberrant,aberrantti
some,abessinialainen
some,abhaasinkielinen
some,abhasialainen
abiotic,abioottinen
ablatival,ablatiivinen
abnormal,abnormaali
abnormal,abnormi
aboral,aboraalinen
abortive,abortiivinen
antiabortion,abortinvastainen
some,abrahamilainen
absolutist,absolutistinen
