,Infinitive(eng),Infinitive(FI),examples,person,positive,negative
0,become distressed,hätääntyä,,,,
1,do,hävettää,,,,
2,be ashamed,hävetä,,,,
3,lose,hävittää,,,,
4,disappear,hävitä,,,,
5,disgrace,häväistä,,,,
6,hang,häälyä,,,,
7,loom,häämöttää,,,,
8,busy,hääriä,,,,
9,bustle,hääräillä,,,,
10,bustle,häärätä,,,,
11,evict,häätää,,,,
12,blabber,hölistä,,,,
13,do,hölkyttää,,,,
14,jog,hölkätä,,,,
15,loosen,höllentyä,,,,
16,loosen,höllentää,,,,
17,relax,hölletä,,,,
18,loosen,höllätä,,,,
19,stupefy,hölmistyttää,,,,
20,be stupefied,hölmistyä,,,,
21,act stupidly,hölmöillä,,,,
22,do,hölpöttää,,,,
23,slosh,hölskyttää,,,,
24,slosh,hölskyä,,,,
25,loosen,höltyä,,,,
26,blurt,höläyttää,,,,
27,blabber,hölöttää,,,,
28,english,hömpsöttää,,,,
29,make a fuss over something,hömpöttää,,,,
30,english,hönkäistä,,,,
31,drool,höpistä,,,,
32,become senile,höppänöityä,,,,
33,drivel,höpsiä,,,,
34,drivel,höpöttää,,,,
35,listen attentively,höristää,,,,
36,slurp,hörppiä,,,,
37,sip,hörpätä,,,,
38,chortle once,hörähtää,,,,
39,english,höröttää,,,,
40,fuss,hössöttää,,,,
41,pluck,höyhentää,,,,
42,english,höykyttää,,,,
43,plane,höylätä,,,,
44,be planed,höyläytyä,,,,
45,be planed,höylääntyä,,,,
46,english,höynähtää,,,,
47,trick,höynäyttää,,,,
48,evaporate,höyrystyä,,,,
49,evaporate,höyrystää,,,,
50,smoke,höyrytellä,,,,
51,steam,höyryttyä,,,,
52,steam,höyryttää,,,,
53,steam,höyrytä,,,,
54,evaporate,höyryyntyä,,,,
55,evaporate instantaneously,höyrähtää,,,,
56,season,höystää,,,,
57,bustle,höösätä,,,,
58,idealize,ideaalistaa,,,,
59,idealize,idealisoida,,,,
60,identify,identifioida,,,,
61,identify with,identifioitua,I am walking,minä,identifioidun,en identifioidu
62,identify with,identifioitua,you are walking,sinä,identifioidut,et identifioidu
63,identify with,identifioitua,he/she is walking,hän,identifioituu,ei identifioidu
64,identify with,identifioitua,we are walking,me,identifioidumme,emme identifioidu
65,identify with,identifioitua,you(plural/respectful) are walking,te,identifioidutte,ette identifioidu
66,identify with,identifioitua,they are walking,he,identifioituvat,eivät identifioidu
67,identify with,identifioitua,(passive) walking,passiivi,identifioidutaan,ei identifioiduta
68,identify with,identifioitua,I walked,minä,olen identifioitunut,en ole identifioitunut
69,identify with,identifioitua,You walked,sinä,olet identifioitunut,et ole identifioitunut
70,identify with,identifioitua,he/she walked,hän,on identifioitunut,ei ole identifioitunut
71,identify with,identifioitua,we walked,me,olemme identifioituneet,emme ole identifioituneet
72,identify with,identifioitua,you(plural/respectful) walked,te,olette identifioituneet,ette ole identifioituneet
73,identify with,identifioitua,they walked,he,ovat identifioituneet,eivät ole identifioituneet
74,identify with,identifioitua,(passive) walked,passiivi,on identifioiduttu,ei ole identifioiduttu
75,identify with,identifioitua,I was walking,minä,identifioiduin,en identifioitunut
