,Infinitive(eng),Infinitive(FI),examples,person,positive,negative
0,be at war,sotia,I am walking,minä,sodin,en sodi
1,be at war,sotia,you are walking,sinä,sodit,et sodi
2,be at war,sotia,he/she is walking,hän,sotii,ei sodi
3,be at war,sotia,we are walking,me,sodimme,emme sodi
4,be at war,sotia,you(plural/respectful) are walking,te,soditte,ette sodi
5,be at war,sotia,they are walking,he,sotivat,eivät sodi
6,be at war,sotia,(passive) walking,passiivi,soditaan,ei sodita
7,be at war,sotia,I walked,minä,olen sotinut,en ole sotinut
8,be at war,sotia,You walked,sinä,olet sotinut,et ole sotinut
9,be at war,sotia,he/she walked,hän,on sotinut,ei ole sotinut
10,be at war,sotia,we walked,me,olemme sotineet,emme ole sotineet
11,be at war,sotia,you(plural/respectful) walked,te,olette sotineet,ette ole sotineet
12,be at war,sotia,they walked,he,ovat sotineet,eivät ole sotineet
13,be at war,sotia,(passive) walked,passiivi,on sodittu,ei ole sodittu
14,be at war,sotia,I was walking,minä,sodin,en sotinut
15,be at war,sotia,You were walking,sinä,sodit,et sotinut
16,be at war,sotia,he/she was walking,hän,soti,ei sotinut
17,be at war,sotia,we were walking,me,sodimme,emme sotineet
18,be at war,sotia,you(plural/respectful) were walking,te,soditte,ette sotineet
19,be at war,sotia,they were walking,he,sotivat,eivät sotineet
20,be at war,sotia,(passive) were walking,passiivi,sodittiin,ei sodittu
21,be at war,sotia,I had walked,minä,olin sotinut,en ollut sotinut
22,be at war,sotia,You had walked,sinä,olit sotinut,et ollut sotinut
23,be at war,sotia,He/she had walked,hän,oli sotinut,ei ollut sotinut
24,be at war,sotia,We had walked,me,olimme sotineet,emme olleet sotineet
25,be at war,sotia,You(plural/repectful) had walked,te,olitte sotineet,ette olleet sotineet
26,be at war,sotia,They had walked,he,olivat sotineet,eivät olleet sotineet
27,be at war,sotia,(passive) had walked,passiivi,oli sodittu,ei ollut sodittu
28,militarize,sotilaallistaa,,,,
29,mess,sotkea,I am walking,minä,sotken,en sotke
30,mess,sotkea,you are walking,sinä,sotket,et sotke
31,mess,sotkea,he/she is walking,hän,sotkee,ei sotke
32,mess,sotkea,we are walking,me,sotkemme,emme sotke
33,mess,sotkea,you(plural/respectful) are walking,te,sotkette,ette sotke
34,mess,sotkea,they are walking,he,sotkevat,eivät sotke
35,mess,sotkea,(passive) walking,passiivi,sotketaan,ei sotketa
36,mess,sotkea,I walked,minä,olen sotkenut,en ole sotkenut
37,mess,sotkea,You walked,sinä,olet sotkenut,et ole sotkenut
38,mess,sotkea,he/she walked,hän,on sotkenut,ei ole sotkenut
39,mess,sotkea,we walked,me,olemme sotkeneet,emme ole sotkeneet
40,mess,sotkea,you(plural/respectful) walked,te,olette sotkeneet,ette ole sotkeneet
41,mess,sotkea,they walked,he,ovat sotkeneet,eivät ole sotkeneet
42,mess,sotkea,(passive) walked,passiivi,on sotkettu,ei ole sotkettu
43,mess,sotkea,I was walking,minä,sotkin,en sotkenut
44,mess,sotkea,You were walking,sinä,sotkit,et sotkenut
45,mess,sotkea,he/she was walking,hän,sotki,ei sotkenut
46,mess,sotkea,we were walking,me,sotkimme,emme sotkeneet
47,mess,sotkea,you(plural/respectful) were walking,te,sotkitte,ette sotkeneet
48,mess,sotkea,they were walking,he,sotkivat,eivät sotkeneet
49,mess,sotkea,(passive) were walking,passiivi,sotkettiin,ei sotkettu
50,mess,sotkea,I had walked,minä,olin sotkenut,en ollut sotkenut
51,mess,sotkea,You had walked,sinä,olit sotkenut,et ollut sotkenut
52,mess,sotkea,He/she had walked,hän,oli sotkenut,ei ollut sotkenut
53,mess,sotkea,We had walked,me,olimme sotkeneet,emme olleet sotkeneet
54,mess,sotkea,You(plural/repectful) had walked,te,olitte sotkeneet,ette olleet sotkeneet
55,mess,sotkea,They had walked,he,olivat sotkeneet,eivät olleet sotkeneet
56,mess,sotkea,(passive) had walked,passiivi,oli sotkettu,ei ollut sotkettu
57,do,sotkeentua,I am walking,minä,sotkeennun,en sotkeennu
58,do,sotkeentua,you are walking,sinä,sotkeennut,et sotkeennu
59,do,sotkeentua,he/she is walking,hän,sotkeentuu,ei sotkeennu
60,do,sotkeentua,we are walking,me,sotkeennumme,emme sotkeennu
61,do,sotkeentua,you(plural/respectful) are walking,te,sotkeennutte,ette sotkeennu
62,do,sotkeentua,they are walking,he,sotkeentuvat,eivät sotkeennu
63,do,sotkeentua,(passive) walking,passiivi,sotkeennutaan,ei sotkeennuta
64,do,sotkeentua,I walked,minä,olen sotkeentunut,en ole sotkeentunut
65,do,sotkeentua,You walked,sinä,olet sotkeentunut,et ole sotkeentunut
66,do,sotkeentua,he/she walked,hän,on sotkeentunut,ei ole sotkeentunut
67,do,sotkeentua,we walked,me,olemme sotkeentuneet,emme ole sotkeentuneet
68,do,sotkeentua,you(plural/respectful) walked,te,olette sotkeentuneet,ette ole sotkeentuneet
69,do,sotkeentua,they walked,he,ovat sotkeentuneet,eivät ole sotkeentuneet
70,do,sotkeentua,(passive) walked,passiivi,on sotkeennuttu,ei ole sotkeennuttu
71,do,sotkeentua,I was walking,minä,sotkeennuin,en sotkeentunut
72,do,sotkeentua,You were walking,sinä,sotkeennuit,et sotkeentunut
73,do,sotkeentua,he/she was walking,hän,sotkeentui,ei sotkeentunut
74,do,sotkeentua,we were walking,me,sotkeennuimme,emme sotkeentuneet
75,do,sotkeentua,you(plural/respectful) were walking,te,sotkeennuitte,ette sotkeentuneet
76,do,sotkeentua,they were walking,he,sotkeentuivat,eivät sotkeentuneet
77,do,sotkeentua,(passive) were walking,passiivi,sotkeennuttiin,ei sotkeennuttu
78,do,sotkeentua,I had walked,minä,olin sotkeentunut,en ollut sotkeentunut
79,do,sotkeentua,You had walked,sinä,olit sotkeentunut,et ollut sotkeentunut
80,do,sotkeentua,He/she had walked,hän,oli sotkeentunut,ei ollut sotkeentunut
81,do,sotkeentua,We had walked,me,olimme sotkeentuneet,emme olleet sotkeentuneet
82,do,sotkeentua,You(plural/repectful) had walked,te,olitte sotkeentuneet,ette olleet sotkeentuneet
83,do,sotkeentua,They had walked,he,olivat sotkeentuneet,eivät olleet sotkeentuneet
84,do,sotkeentua,(passive) had walked,passiivi,oli sotkeennuttu,ei ollut sotkeennuttu
85,tangle,sotkeutua,I am walking,minä,sotkeudun,en sotkeudu
86,tangle,sotkeutua,you are walking,sinä,sotkeudut,et sotkeudu
87,tangle,sotkeutua,he/she is walking,hän,sotkeutuu,ei sotkeudu
88,tangle,sotkeutua,we are walking,me,sotkeudumme,emme sotkeudu
89,tangle,sotkeutua,you(plural/respectful) are walking,te,sotkeudutte,ette sotkeudu
90,tangle,sotkeutua,they are walking,he,sotkeutuvat,eivät sotkeudu
91,tangle,sotkeutua,(passive) walking,passiivi,sotkeudutaan,ei sotkeuduta
92,tangle,sotkeutua,I walked,minä,olen sotkeutunut,en ole sotkeutunut
93,tangle,sotkeutua,You walked,sinä,olet sotkeutunut,et ole sotkeutunut
94,tangle,sotkeutua,he/she walked,hän,on sotkeutunut,ei ole sotkeutunut
95,tangle,sotkeutua,we walked,me,olemme sotkeutuneet,emme ole sotkeutuneet
96,tangle,sotkeutua,you(plural/respectful) walked,te,olette sotkeutuneet,ette ole sotkeutuneet
97,tangle,sotkeutua,they walked,he,ovat sotkeutuneet,eivät ole sotkeutuneet
98,tangle,sotkeutua,(passive) walked,passiivi,on sotkeuduttu,ei ole sotkeuduttu
99,tangle,sotkeutua,I was walking,minä,sotkeuduin,en sotkeutunut
100,tangle,sotkeutua,You were walking,sinä,sotkeuduit,et sotkeutunut
101,tangle,sotkeutua,he/she was walking,hän,sotkeutui,ei sotkeutunut
102,tangle,sotkeutua,we were walking,me,sotkeuduimme,emme sotkeutuneet
103,tangle,sotkeutua,you(plural/respectful) were walking,te,sotkeuduitte,ette sotkeutuneet
104,tangle,sotkeutua,they were walking,he,sotkeutuivat,eivät sotkeutuneet
