English,Finnish
brass section,vaskisektio
brass instrument,vaskisoitin
slowworm,vaskitsa
pan,vaskooli
vasculitis,vaskuliitti
contraindication,vasta-aihe
antibody,vasta-aine
novice,vasta-alkaja
answerer,vastaaja
receiver,vastaanotin
receiver,vastaanottaja
reception,vastaanotto
rival candidate e,vastaehdokas
counterproposition,vastaehdotus
antiparticle,vastahiukkanen
headwind,vastainen
counterpunch,vastaisku
opposition,vastaisuus
positive response,vastakaiku
countertrade,vastakauppa
passbook,vastakirja
opposition,vastakkainasettelu
an antonym,vastakohta
counterquestion,vastakysymys
tack,vastakäännös
return gift,vastalahja
protest,vastalause
complement,vastaluku
antidote,vastalääke
climb,vastamaa
subvertising,vastamainonta
subvert,vastamainos
antivenin,vastamyrkky
climb,vastamäki
newlywed,vastanainut
an actor in an opposite,vastanäyttelijä
antipope,vastapaavi
backpressure,vastapaine
counterweight,vastapaino
an opponent in a game,vastapelaaja
riposte,vastapisto
antithesis,vastapooli
an opponent,vastapuoli
contrarian,vastarannan kiiski
opposite shore,vastaranta
resistance,vastarinta
resistance movement,vastarintaliike
newborn,vastasyntynyt
countersurveillance,vastatiedustelu
counteraction,vastatoimi
foul wind,vastatuuli
answer,vastaus
response rate,vastausprosentti
return call,vastauspuhelu
counterintelligence,vastavakoilu
ripost,vastaveto
reciprocal visit,vastavierailu
counterargument,vastaväite
examiner,vastaväittäjä
disgust,vastenmielisyys
substitution,vastike
stopper,vastin
equivalent,vastine
resistor,vastus
an opponent in a game,vastustaja
resistance,vastustus
immunity,vastustuskyky
responsibility,vastuu
person in charge,vastuuhenkilö
irresponsibility,vastuuttomuus
liability insurance,vastuuvakuutus
waiver,vastuuvapaussopimus
waiver,vastuuvapautus
waiver,vastuuvapautussopimus
basket,vasu
in ice hockey,vasuri
dish,vati
mixer,vatkain
stomach,vatsa
