,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
140,aarporata,ream,ream,aarporata,,,,,
141,aatella,do,do,aatella,,,,,
170,aavikoittaa,desertify,desertify,aavikoittaa,,,,,
255,abdikoida,abdicate,abdicate,abdikoida,,,,,
284,abhaasintaa,translate into abkhaz,translate into abkhaz,abhaasintaa,,,,,
537,addiktoida,addict,addict,addiktoida,,,,,
538,addiktoitua,addict,addict,addiktoitua,,,,,
623,aerobicata,do,do,aerobicata,,,,,
652,affisioida,affect,affect,affisioida,,,,,
653,afrikaansintaa,translate into afrikaans,translate into afrikaans,afrikaansintaa,,,,,
654,agglutinoida,agglutinate,agglutinate,agglutinoida,,,,,
767,ahdata,load,load,ahdata,,,,,
908,ahmaista,wolf down,wolf down,ahmaista,,,,,
937,ahnastella,do,do,ahnastella,,,,,
994,ahtauttaa,make,make,ahtauttaa,,,,,
1079,aidoittaa,fence,fence,aidoittaa,,,,,
1108,aiheellistaa,justify,justify,aiheellistaa,,,,,
1305,aikatauluttaa,schedule,schedule,aikatauluttaa,,,,,
1306,aikauttaa,time,time,aikauttaa,,,,,
1419,aineellistaa,materialize,materialize,aineellistaa,,,,,
1448,aineistaa,do,do,aineistaa,,,,,
1477,ainuntaa,translate into ainu language,translate into ainu language,ainuntaa,,,,,
1478,aisata,do,do,aisata,,,,,
1619,aivopestä,brainwash,brainwash,aivopestä,,,,,
1620,ajaa karille,run aground,run aground,ajaa karille,,,,,
1621,ajaa partansa,shave,shave,ajaa partansa,,,,,
1622,ajaa takaa,chase,chase,ajaa takaa,,,,,
1679,ajankohtaistaa,make current,make current,ajankohtaistaa,,,,,
1708,ajanmukaistaa,modernize,modernize,ajanmukaistaa,,,,,
1737,ajantasaistaa,update,update,ajantasaistaa,,,,,
1822,ajatteluttaa,make think,make think,ajatteluttaa,,,,,
2019,akettaa,do,do,akettaa,,,,,
2132,akkumuloida,accumulate,accumulate,akkumuloida,,,,,
2161,akseleroida,accelerate,accelerate,akseleroida,,,,,
2162,akseptata,accept a negotiable instrument,accept a negotiable instrument,akseptata,,,,,
2163,akseptoida,accept a negotiable instrument,accept a negotiable instrument,akseptoida,,,,,
2164,aktiivistaa,make more active,make more active,aktiivistaa,,,,,
2249,aktuaalistaa,do,do,aktuaalistaa,,,,,
2278,aktualisoida,do,do,aktualisoida,,,,,
2475,alijäähtyä,supercool,supercool,alijäähtyä,,,,,
